width,distance,success,time
50,800,1,0.555013
50,800,1,0.555013
50,800,1,0.50493
50,800,1,0.444935
50,800,1,0.459938
50,800,1,0.584911
50,800,1,0.51511
50,800,1,0.480103
50,800,1,0.530113
50,800,1,0.510109
50,800,1,0.480103
50,800,1,0.495106
50,800,1,0.475101
50,800,1,0.450096
50,800,1,0.42009
50,800,0,0.4701
36.7,800,1,0.490105
36.7,800,0,0.400085
36.7,800,0,0.42009
36.7,800,1,0.455097
36.7,800,1,0.455097
36.7,800,0,0.440094
36.7,800,0,0.450096
36.7,800,1,0.464745
36.7,800,1,0.479736
36.7,800,1,0.539703
36.7,800,0,0.459747
36.7,800,1,0.499725
36.7,800,1,0.464745
36.7,800,1,0.409775
36.7,800,0,0.394783
36.7,800,1,0.474739
36.7,400,1,0.579681
36.7,400,0,0.234871
36.7,400,1,0.259857
36.7,400,1,0.304832
36.7,400,1,0.479736
36.7,400,1,0.469742
36.7,400,0,0.409775
36.7,400,1,0.389801
36.7,400,1,0.424767
36.7,400,1,0.384789
36.7,400,1,0.374794
36.7,400,1,0.499725
36.7,400,1,0.384789
36.7,400,1,0.409775
36.7,400,1,0.504723
36.7,400,1,0.419769
15,800,1,0.589676
15.000001,800,1,0.679626
15.000001,800,0,0.524712
15.000001,800,1,0.634651
15.000001,800,1,0.714607
15.000001,800,1,0.769577
15.000001,800,0,0.549698
15.000001,800,1,0.59967
15.000001,800,0,0.544701
15.000001,800,1,0.65464
15.000001,800,1,0.754585
15.000001,800,1,0.619659
15.000001,800,1,0.719604
15.000001,800,1,0.674629
15.000001,800,1,0.61467
15.000001,800,1,0.65464
15.000001,400,0,0.614662
15.000001,400,1,0.629654
15.000001,400,1,0.56469
15.000001,400,1,0.514717
15.000001,400,0,0.549698
15.000001,400,1,0.554695
15.000001,400,1,0.629654
15.000001,400,1,0.609665
15.000001,400,1,0.560547
15.000001,400,1,0.590576
15.000001,400,1,0.765747
15.000001,400,1,0.530518
15.000001,400,0,0.480469
15.000001,400,1,0.550537
15.000001,400,0,0.610596
15.000001,400,1,0.555542
50.000004,400,1,0.390381
50.000004,400,1,0.400391
50.000004,400,1,0.470459
50.000004,400,1,0.460449
50.000004,400,1,0.385376
50.000004,400,1,0.375366
50.000004,400,1,0.4104
50.000004,400,1,0.400391
50.000004,400,1,0.375366
50.000004,400,1,0.370361
50.000004,400,1,0.360352
50.000004,400,1,0.435425
50.000004,400,1,0.425415
50.000004,400,1,0.395386
50.000004,400,1,0.405396
50.000004,400,1,0.375366
50.000004,800,1,0.585571
50.000004,800,1,0.530518
50.000004,800,1,0.490479
50.000004,800,1,0.585571
50.000004,800,1,0.575562
50.000004,800,1,0.485474
50.000004,800,1,0.450439
50.000004,800,1,0.465454
50.000004,800,1,0.585571
50.000004,800,0,0.405396
50.000004,800,1,0.4104
50.000004,800,1,0.515503
50.000004,800,1,0.465454
50.000004,800,0,0.44043
50.000004,800,1,0.44043
50.000004,800,0,0.520508
36.7,800,1,0.570557
36.7,800,1,0.515503
36.7,800,0,0.550537
36.7,800,1,0.510498
36.7,800,1,0.575562
36.7,800,1,0.485474
36.7,800,1,0.505493
36.7,800,1,0.540527
36.7,800,1,0.550537
36.7,800,1,0.520508
36.7,800,1,0.530518
36.7,800,1,0.495483
36.7,800,1,0.495483
36.7,800,1,0.500488
36.7,800,1,0.470459
36.7,800,1,0.525513
36.7,400,1,0.365356
36.7,400,1,0.435425
36.7,400,1,0.535522
36.7,400,1,0.500488
36.7,400,1,0.435425
36.7,400,1,0.380371
36.7,400,0,0.365356
36.7,400,1,0.610596
36.7,400,0,0.220215
36.7,400,1,0.390381
36.7,400,1,0.405396
36.7,400,0,0.425415
36.7,400,1,0.515503
36.7,400,1,0.385376
36.7,400,1,0.585571
36.7,400,1,0.395386
15.000001,800,1,0.740723
15.000001,800,1,0.62561
15.000001,800,1,0.710693
15.000001,800,1,0.590576
15.000001,800,1,0.705688
15.000001,800,1,0.62561
15.000001,800,1,0.725708
15.000001,800,1,0.650635
15.000001,800,1,0.705688
15.000001,800,1,0.670654
15.000001,800,1,0.695679
15.000001,800,0,0.490479
15.000001,800,0,0.355347
15.000001,800,0,0.400391
15.000001,800,0,0.490479
15.000001,800,1,0.63562
15.000001,400,0,0.515503
15.000001,400,1,0.565552
15.000001,400,1,0.63562
15.000001,400,1,0.550537
15.000001,400,1,0.550537
15.000001,400,1,0.670654
15.000001,400,0,0.580566
15.000001,400,1,0.600586
15.000001,400,0,0.600586
15.000001,400,1,0.600586
15.000001,400,1,0.62561
15.000001,400,1,0.615601
15.000001,400,1,0.64563
15.000001,400,1,0.650635
15.000001,400,1,0.600586
15.000001,400,1,0.555542
50.000004,400,1,0.500488
50.000004,400,1,0.505493
50.000004,400,1,0.425415
50.000004,400,1,0.415405
50.000004,400,1,0.44043
50.000004,400,0,0.385376
50.000004,400,1,0.415405
50.000004,400,1,0.385376
50.000004,400,1,0.510498
50.000004,400,0,0.325317
50.000004,400,1,0.44043
50.000004,400,1,0.395386
50.000004,400,1,0.435425
50.000004,400,1,0.495483
50.000004,400,1,0.535522
50.000004,400,1,0.405396
